10#5.5413#CRC#Colón Costarriquenho#CDF#Colón Costarriquenho#1714259400228#1714176001#831.195
9#0.01395#BDT#Taka Bengali#AUD#Taka Bengali#1714259387063#1714176001#2.093
8#0.06356#BDT#Taka Bengali#DKK#Taka Bengali#1714259162748#1714176001#1.589
1#1803.4234#AUD#Dólar Australiano#CDF#Dólar Australiano#1714219487357#1714176001#270513.510
2#0.281#AMD#Dram Armênio#BDT#Dram Armênio#1714220203828#1714176001#42.150
3#1.0#BDT#Taka Bengali#BDT#Taka Bengali#1714220218438#1714176001#150.000
4#1.0#AUD#Dólar Australiano#AUD#Dólar Australiano#1714223251081#1714176001#150.000
5#0.2457#AUD#Dólar Australiano#BHD#Dólar Australiano#1714223533812#1714176001#11.057
6#3.367#AUD#Dólar Australiano#BRL#Dólar Australiano#1714223599737#1714176001#151.515
7#71.695#AUD#Dólar Australiano#BDT#Dólar Australiano#1714223630826#1714176001#3226.275
